minutes,mm_per_h
0,0.675
30,1.377
60,0.995
90,0.475
120,0.372
150,0.490
180,1.410
210,2.080
240,1.367
270,0.942
300,2.990
330,2.165
360,1.812
390,0.747
420,0.417
450,0.322
480,0.595
510,0.115
540,0.075
570,0.712
600,0.685
630,0.765
660,0.710
690,1.410
720,0.887
750,0.985
780,1.155
810,1.372
840,2.887
870,2.682
900,2.735
930,2.847
960,2.437
990,2.325
1020,2.210
1050,2.222
1080,2.442
1110,2.167
1140,2.175
1170,2.445
1200,3.630
1230,2.085
1260,2.670
1290,2.842
1320,3.993
1350,5.707
1380,5.457
1410,13.932
1440,10.185
1470,8.620
1500,8.820
1530,9.367
1560,10.117
1590,13.367
1620,21.335
1650,14.707
1680,14.647
1710,13.610
1740,11.410
1770,11.045
1800,11.967
1830,12.562
1860,13.867
1890,9.607
1920,9.122
1950,9.715
1980,7.265
2010,6.350
2040,6.100
2070,7.050
2100,6.745
2130,6.617
2160,4.920
2190,6.480
2220,8.107
2250,9.097
2280,10.835
2310,9.597
2340,9.955
2370,7.090
2400,8.180
2430,4.382
2460,4.465
2490,7.140
2520,7.182
2550,6.892
2580,4.810
2610,6.507
2640,15.995
2670,4.687
2700,4.027
2730,3.867
2760,3.082
2790,7.852
2820,4.377
2850,2.515
2880,0
